metadata;file;mappings;datatype;Sample
instruments;static;MSI;String;MSI
constellation;**/SENTINEL2*_MTD_ALL.xml;/Muscate_Metadata_Document/Dataset_Identification/PROJECT/text();String;SENTINEL2
gsd;**/SENTINEL2*_MTD_ALL.xml;/Muscate_Metadata_Document/Geoposition_Informations/Geopositioning/Group_Geopositioning_List/Group_Geopositioning[1]/XDIM/text();Double;10
view:off_nadir;static;;;--
view:incidence_angle;static;/Muscate_Metadata_Document/Geometric_Informations/Me/text()an_Value_List/Mean_Viewing_Incidence_Angle_List/Mean_Viewing_Incidence_Angle[1]/ZENITH_ANGLE;;7.414661503966
view:azimuth;static;/Muscate_Metadata_Document/Geometric_Informations/Mean_Value_List/Mean_Viewing_Incidence_Angle_List/Mean_Viewing_Incidence_Angle[1]/AZIMUTH_ANGLE/text();Double;105.134900074813
view:sun_elevation;static;/Muscate_Metadata_Document/Geometric_Informations/Mean_Value_List/Sun_Angles/ZENITH_ANGLE/text();;34.420171159855
view:sun_azimuth;static;/Muscate_Metadata_Document/Geometric_Informations/Mean_Value_List/Sun_Angles/AZIMUTH_ANGLE/text();;153.444841087441
sat:platform_international_designator;static;;String;
sat:orbit_state;static;;String;DESCENDING
sat:absolute_orbit;**/SENTINEL2*_MTD_ALL.xml;/Muscate_Metadata_Document/Product_Characteristics/ORBIT_NUMBER/text();Int64;5839
sat:relative_orbit;static;;Int64;38
sat:anx_datetime;static;;DateTimeOffset;2014-09-30T14:24:08.005875Z
sat:tileId;**/SENTINEL2*_MTD_ALL.xml;substring(/Muscate_Metadata_Document/Dataset_Identification/GEOGRAPHICAL_ZONE,50,6);String;T33UVQ
processing:lineage;**/SENTINEL2*_MTD_ALL.xml;/Muscate_Metadata_Document/Production_Informations/Processing_Jobs_List/Job/PRODUCER_NAME/text();String;MUSCATE
processing:level;**/SENTINEL2*_MTD_ALL.xml;/Muscate_Metadata_Document/Product_Characteristics/PRODUCT_LEVEL/text();String;L2A
processing:facility;**/SENTINEL2*_MTD_ALL.xml;/Muscate_Metadata_Document/Dataset_Identification/AUTHORITY/text();String;THEIA
processing:date;**/SENTINEL2*_MTD_ALL.xml;/Muscate_Metadata_Document/Product_Characteristics/PRODUCTION_DATE/text();;2016-08-04T10:06:13.000000Z
processing:software;static;"{""MUSCATE"", ""1.0""}";json;
processing:name;**/SENTINEL2*_MTD_ALL.xml;/Muscate_Metadata_Document/Dataset_Identification/PRODUCER/text();String;MUSCATE
processing:version;**/SENTINEL2*_MTD_ALL.xml;/Muscate_Metadata_Document/Product_Characteristics/PRODUCT_VERSION/text();String;1.0
product_name;**/SENTINEL2*_MTD_ALL.xml;concat(/Muscate_Metadata_Document/Dataset_Identification/PRODUCER,' ',/Muscate_Metadata_Document/Product_Characteristics/PRODUCT_VERSION);String;
